id,手機螢幕溫度(平均),手機螢幕溫度(最大),手機背蓋溫度(平均),平均APP運作指標/小時,充電時間指標,手機電池電量,CPU跑分階級,手機外殼/包膜指標,外型平均曲率,上網頻率指標,通話頻率指標,新機/二手/老舊,內容容量比率,CPU效能等級,
14,57.57142857,61.19047619,47.76666667,871,0.06557377,87.8386678,3,0.056241468,-0.1459,5240,5009,0,0.9997253,1,
15,66.57142857,74.66666667,51.33333333,231.8,0.798165138,55.37518038,3,0.138008609,-0.07158,2902,2512,0,1,1,
16,42.66666667,47.23809524,35.56655375,390.2353812,0.218649521,66.25227428,3,0.151585013,-0.07038895,4589.575746,3872.199729,0,0.962864459,1,
17,27.06405494,34.73809524,34.68933868,231.6050379,0.07171315,72.76790021,3,0.150640473,0.04095174,2499.370393,2093.43322,0,0.076897889,1,
18,37.38095238,48.92857143,97.53333333,226,0,59.84848485,3,0.292446166,-0.1088,759.3,635.9,0,0.713058863,1,
19,47.07142857,56.97619048,44.91333333,470.9,0.723809524,63.07720058,3,0.166045561,0.072282178,4381,3865,1,0.992702892,1,
20,47.28571429,59.73809524,64.52666667,891,0.032967033,61.83261183,3,0.186977088,0.132809979,3334,2727,0,0.446650124,1,
21,39.96347773,44.28571429,37.53266652,806.0369795,0.9031142,81.77479718,3,0.058495235,-0.008031316,4354.985113,4076.014983,0,1,1,
22,24.08402507,28.11904762,56.43767802,147.5644703,0,64.9907116,4,0.128726274,0.017406685,1008.694094,668.9650875,0,0.997195951,2,
23,42.42857143,51.30952381,62.91333333,379.2,0.422222222,62.12121212,3,0.143821627,0.067765863,3352,3080,1,0.710394803,1,
24,50.47619048,54.73809524,45.98666667,847.4,0.166666667,90.96320346,3,0.052670471,-0.02567,2243,2017,1,0.825780553,1,
25,28.5,36.42857143,53.86,390.5,0.641509434,51.64141414,3,0.149934888,0.18928143,2156,1822,0,0.973544678,1,
26,46.0952381,57.83333333,55.50666667,606.8,0.385826772,59.28932179,4,0.21895352,0.080836656,625.3,0,1,0.955096207,2,
27,31.73305257,38.07142857,38.65800222,1157.340502,0.018404908,79.29618048,3,0.087357946,-0.013847432,2590.664396,1939.938192,0,0.993769288,1,
28,39.76190476,45.38095238,64.72,4033,0.233333333,82.63252107,4,0.04700103,0.031151176,7418,7185,0,0.966013773,2,
29,19.59965733,21.85714286,40.47472382,320.478729,0,57.16248723,6,0.090440243,-0.14336966,126.3589178,0,0,0.949141443,4,
30,51,56.85714286,38.50666667,1191,0.205128205,93.65079365,3,0.044196349,0.076334137,3012,2716,0,0.847201875,1,
31,47.78571429,57,81.13333333,250.9,0.357142857,92.65677092,3,0.07659632,-0.0273,1432,1248,0,0.808182485,1,
32,42.54761905,51.30952381,63.76,301.2,0.065789474,95.03968254,3,0.057136178,0.094847014,3569,3363,2,0.74632432,1,
33,27.35714286,32.16666667,59.22666667,57.41,0.038461538,52.61544012,3,0.130214572,-0.2795,754.5,513.4,0,0.991271458,1,
34,15.66499837,17.73809524,45.18584696,195.3516478,0.1557789,66.28077718,3,0.050712295,-0.16099377,605.1762159,346.3830521,0,0.985408412,1,
35,52.85714286,61.5952381,51.64666667,131.8,0.139240506,98.97186147,3,0.087325193,0.003562733,7152,6867,0,0.9313589,1,
36,10.06032744,15.23809524,29.46057129,274.8905726,0.458333343,83.48489443,6,0.274330854,0.167196289,148.2271675,0,0,0.505410254,4,
37,49.97619048,59.52380952,46.30666667,427.2,0.106796117,91.2796658,4,0.04182848,-0.1224,2428,1957,0,0.988741859,2,
38,29.14285714,35.0952381,42.54,223.2,0.859649123,75.8367787,3,0.052801628,0.017627064,2329,2030,1,0.947236181,1,
39,31.75904774,34.97619048,47.81064351,122.5577378,0.333333343,67.24212222,3,0.175532654,0.199738428,3278.11181,3100.555935,0,1,1,
40,34.16666667,42.85714286,60.04666667,1090,0.379746835,78.17460317,3,0.085487671,-0.01342,1173,653.1,1,0.703145748,1,
41,36.67252895,42.4047619,47.89772542,1212.61198,0.300699294,67.45725298,3,0.158965841,-0.070015512,2331.733697,1816.684521,0,0.970562577,1,
42,34.26190476,40.69047619,53.19333333,879.9,0.795698925,84.60337578,3,0.067791432,-0.005722,1485,864.4,0,0.995426452,1,
43,34.52380952,45.4047619,63.11333333,262.8,0,84.14393228,3,0.072866485,0.107308719,295.5,0,1,0.932505713,1,
44,37.57142857,44.19047619,51.66,189,0.44,52.27272727,3,0.217016831,0.102347218,3503,3350,0,0.68115942,1,
45,72.5,77.38095238,49.9,283.3,0.782608696,82.05735544,3,0.037296183,-0.1326,4339,4005,0,0.985673621,1,
46,30.07142857,41.45238095,67.53333333,418.4,0.052083333,85.38263426,3,0.060907885,0.118742682,653.4,197.5,2,0.309862419,1,
47,36.83333333,43.04761905,60.87333333,240.8,0.109589041,50.9018759,3,0.1542207,0.044834321,3225,2886,0,0.979840582,1,
48,39.61904762,45.04761905,74.4,728,0,87.01132512,3,0.044678062,0.101075534,8683,8476,0,0.955275844,1,
49,14.04909552,15.71428571,35.38175456,76.09455017,0.273127764,81.79938709,4,0.057797894,0.034184009,1621.804476,1358.603628,0,0.647219598,2,
50,49.5,53.5952381,58.84,720.1,0.480769231,91.91919192,3,0.052993696,-0.05538,3243,3056,0,0.793181734,1,
51,61.0952381,74.4047619,57.54666667,275,0.23015873,91.3961039,3,0.044034377,0.031151855,3191,2784,0,0.967464744,1,
52,38.07470122,44.21428571,42.56982676,1193.274817,0.139784947,81.77915593,3,0.07888937,0.014506401,4322.697372,3861.543708,0,0.831641793,1,
53,34.38095238,42.97619048,60.27333333,322.1,0.385964912,85.00215875,3,0.055912741,0.116785002,2313,2119,1,0.855833534,1,
54,42.53718785,46.47619048,26.81730398,1308.968821,0.496815294,67.82233063,3,0.145422012,0.008844706,4653.027137,4175.55479,0,0.992135584,1,
55,54.07142857,61.16666667,65.53333333,3592,0.1125,89.61038961,4,0.061359968,-0.1132,6167,5755,0,0.790842788,2,
56,63.71428571,68.38095238,45.48666667,1404,0.272727273,82.52164502,3,0.050126139,-0.08452,3137,2924,1,0.986708279,1,
57,36.9047619,44.33333333,59.6,350.2,0.5,84.63404643,3,0.059732195,0.011064857,1652,1367,1,0.858464546,1,
58,43.88095238,47.4047619,44.97333333,40.73,0.111111111,83.49422505,3,0.046227373,0.370562969,3883,3549,0,0.994346811,1,
59,55.11904762,61.23809524,59.44,499.8,0.114942529,90.27777778,4,0.101202987,0.0734063,1710,1329,0,0.987417887,2,
60,35.0952381,44.23809524,63.26666667,472.7,0.019230769,77.43506494,3,0.069954507,-0.06022,871.8,554.8,1,0.806285694,1,
61,22.87753296,29.21428571,51.72348531,183.0011861,0.010869565,71.31699573,3,0.050541796,0.211015075,1295.786124,1112.431242,0,0.388776332,1,
62,40.38095238,46.30952381,67.46666667,406.9,0,77.14646465,3,0.056589678,-0.02134,2617,2167,0,0.797049491,1,
63,39.9047619,50.28571429,69.6,157.6,0.514285714,91.82900433,3,0.0804004,0.023911562,987.8,541.7,2,0.963523726,1,
64,49.95238095,54.83333333,54.51333333,129,0.666666667,62.62626263,3,0.131050229,0.191240717,4775,4419,0,0.853927987,1,
65,38,42.76190476,55.48666667,831.5,0.120879121,51.74963925,3,0.107146695,-0.1023,945.5,543.3,0,0.997179781,1,
66,62.11904762,68.35714286,45.79333333,990.9,0.408163265,55.51948052,3,0.047053665,-0.05537,2558,2030,0,0.990522154,1,
67,23.56904762,32.04761905,34.16666667,231.3,0.068965517,73.95382395,3,0.084516764,0.085621138,1361,1098,0,0.563536141,1,
68,44.11904762,53.45238095,57.22666667,469.5,0,92.09298216,3,0.077751204,-0.0666,2409,2017,1,0.981568773,1,
69,14.74467396,17.76190476,40.48694102,99.17176837,0.407894731,97.98845381,4,0.08424633,0.115118556,650.8444035,490.5748691,0,0.783897221,2,
70,26.58356004,36.9047619,52.59681193,963.2262082,0.572000027,63.33381939,3,0.136021599,0.002387868,1104.702044,657.2954986,0,0.815573394,1,
71,26.21428571,31.76190476,52.42666667,1069,0.078947368,73.98989899,3,0.09857101,0.161504767,1277,918.4,0,0.607838354,1,
72,23.32619048,28.80952381,71.93333333,157.6,0.155844156,78.26247801,3,0.073809415,-0.03342,1044,526.9,0,0.832054438,1,
73,65.07142857,71.54761905,65.14666667,1486,0.021505376,85.19119769,4,0.044297043,-0.2036,2803,2387,0,0.980894221,2,
74,21.16403053,23.07142857,36.4866333,785.4461631,0.173285201,83.31828635,4,0.769325018,-0.087708622,1314.760225,1001.226166,0,0.99183523,2,
75,15.96489752,23.45238095,42.13735962,185.7482811,0.357833654,97.82547592,6,0.19910574,0.016171236,664.5988558,0,0,0.670475602,4,
76,16.29393659,17.16666667,21.16407649,137.2735941,0.258064508,56.9664717,3,0.105482735,-0.029579198,335.522799,112.4040422,0,0.517529309,1,
77,43.02380952,47.9047619,54.12666667,160.4,0.031746032,82.92902043,4,0.062563844,0.216937074,1849,1441,0,0.966321669,2,
78,40.24058896,48.61904762,43.57639058,1625.075908,0.206008583,66.94630216,3,0.159432039,-0.059814319,4078.509682,3368.072728,0,0.953584254,1,
79,62.16666667,64.92857143,34.13333333,1021,0.274336283,83.42194496,4,0.064095803,-0.02888,2402,1920,0,0.996023457,2,
80,45.88095238,47.61904762,32.42666667,853.2,0.438596491,84.71951219,3,0.050461851,-0.1257,3863,3703,0,0.999165767,1,
81,45.4047619,50.54761905,79.93333333,356.2,0.178571429,93.86387744,3,0.039986752,-0.4129,3914,3355,0,0.6790357,1,
82,29.47619048,37,60.45333333,311.9,0,80.75808963,3,0.056577202,0.089777084,165.6,0,0,0.865669867,1,
83,35.54761905,39.30952381,49.12666667,490.1,0.694444444,86.34276898,3,0.081320316,0.174045649,2462,2223,0,0.703535742,1,
84,58.54761905,62.42857143,43.88,2043,0.620689655,84.75289775,3,0.036323365,-0.02078,5199,4902,0,0.999715761,1,
85,41.23809524,47.19047619,81.33333333,90.39,0.081081081,83.92068765,3,0.062284775,0.415008298,1188,985.3,0,0.881827811,1,
86,8.560252598,8.595238095,2.913417498,27.88559364,0.234042555,80.30764417,6,0.197674692,0.076079279,279.1715835,114.5626154,0,0.715572716,4,
87,62.02380952,64.97619048,40.00666667,1115,0.2375,54.94227994,4,0.181620553,-0.1586,2359,1920,0,0.994055412,2,
88,39.11904762,50.02380952,79.53333333,165.8,0.055555556,92.76133333,3,0.071725555,0.133422194,1097,621.4,2,0.771390581,1,
89,30.73809524,41.38095238,63.07333333,152,0.102040816,52.18253968,3,0.218384132,0.147443427,658,0,1,0.911201629,1,
90,40.45238095,48.76190476,64.86,686.2,0.204819277,92.24386724,3,0.065794289,0.001084468,1658,1476,1,0.693946721,1,
91,23.92563738,28.5952381,51.40979513,236.5402116,0,67.03029435,3,0.199932933,0.16812788,1809.265615,1704.281726,0,0.881683588,1,
92,49.92857143,62.92857143,72.73333333,436.9,0.094488189,91.66666667,3,0.053202737,-0.002738,1838,1255,0,0.979924199,1,
93,55.57142857,60.85714286,41.38666667,1177,0.108910891,56.51154401,4,0.159477949,-0.1023,4870,4454,0,1,2,
94,13.47114781,13.57142857,3.123544375,42.50418658,0.214285716,62.96145164,4,0.031252291,0.025189646,334.9371594,278.09227,0,0.084330694,2,
95,56.61904762,63.38095238,47.52,1953,0.236111111,57.57575758,3,0.101497889,0.014519377,4850,4543,0,0.98427734,1,
96,18.66666667,22.28571429,56.72666667,103.3,0.202380952,53.22871573,3,0.134047881,-0.08462,160.4,0,0,0.893144044,1,
97,27.15739804,35.11904762,46.8747406,626.5290321,0,67.52618167,4,0.123488978,-0.073089749,800.6477669,0,0,1,2,
98,58.28571429,63.47619048,54.62,553.5,0.255813953,93.5334223,3,0.051697601,-0.1341,6334,5969,0,0.934973528,1,
99,19.30333891,30.5,48.24601746,133.0543268,0,57.7060393,4,0.086987332,0.047306281,242.4747516,0,0,0.799287558,2,
100,58.30952381,63.23809524,36.87333333,311.9,0.402439024,91.81179761,3,0.032531988,0.006719895,6714,6240,1,0.989872392,1,
101,26.40252104,35.73809524,40.42904917,1233.665392,0.521994114,68.37537698,3,0.215796918,0.01558343,2019.51302,1514.649931,0,0.998819001,1,
102,47.28571429,57.92857143,58.39333333,130.3,0.118110236,98.01587302,3,0.064068757,0.021027958,7094,6490,0,0.994544083,1,
103,41.47619048,47.83333333,53.49333333,1068,0.036585366,85.5437041,3,0.075936399,-0.04864,1476,1077,0,0.921948174,1,
104,31.21428571,34.5952381,54.20666667,171.7,0.131578947,75.01803752,3,0.06959334,0.171452131,2567,2401,0,0.599112625,1,
105,21.91428571,28,58.42,246.5,0.177419355,52.94011544,3,0.103429049,0.2129757,393.3,156.3,0,0.973945804,1,
106,62.38095238,68.69047619,47.25333333,1244,0,56.04256854,3,0.155005917,-0.05195,3373,3082,1,1,1,
107,16.48405965,18.64285714,27.41773224,137.3283209,0.185185179,80.9775688,5,0.273347974,-0.031540714,1666.362873,1458.96111,0,0.780046046,3,
108,32.30952381,36.5,64.40666667,91.15,0.162162162,80.11076549,3,0.074714422,-0.1044,597.3,382.5,0,0.875774449,1,
109,43.23809524,52.23809524,54.84666667,182.2,0.285714286,92.6319709,3,0.040473033,0.108311581,1811,1415,0,0.964734073,1,
110,18.62551299,24.30952381,27.62023163,310.1305884,0.441064626,68.45582868,3,0.131789729,0.053722154,451.2629175,131.998153,0,0.606572688,1,
111,55.4047619,61.23809524,57.64666667,657.3,0.056,92.4963925,3,0.058442313,-0.1917,3890,3557,0,0.962972788,1,
112,23.73809524,28.85714286,64.14,38.91,0.154929577,78.63354982,3,0.07254871,-0.05424,654.5,255.5,1,0.637454881,1,
113,29.47619048,35.71428571,62.04666667,186.3,0.3203125,74.72943723,3,0.190930307,-0.08977,975.4,145.6,0,0.565484959,1,
114,39.11904762,50.02380952,79.53333333,165.8,0.055555556,91.77489177,3,0.103100181,0.133422194,1097,621.4,2,0.933031298,1,
115,57.23809524,64.80952381,57.36,1378,0.716216216,91.97148384,3,0.048870839,-0.06212,2303,1575,0,0.990873378,1,
116,65.35714286,71.33333333,50.74666667,1835,0.046728972,83.76497229,4,0.039811041,-0.07367,3483,3057,0,0.983013769,2,
117,36.45238095,43.11904762,53.62666667,734.3,0,51.93001443,3,0.101171471,-0.0128,875.1,320.6,1,0.995971462,1,
118,28.61904762,40.80952381,69.06666667,414.6,0.052631579,84.60686525,3,0.092146307,0.038616213,127.2,0,2,0.864930032,1,
119,24.19047619,33.57142857,60.82,475.1,0.702479339,78.05097711,3,0.059572279,0.003443348,466.5,72.73,0,0.8653971,1,
120,53.02380952,57.19047619,69.2,313.4,0.037037037,59.57792208,3,0.101782069,-0.3303,1951,1688,0,0.983634431,1,
121,68.26190476,72.95238095,50.32,457.3,0.037037037,82.83636548,3,0.057095949,-0.1208,4417,4166,0,0.845058011,1,
122,23.73809524,28.85714286,64.14,38.91,0.154929577,53.86002886,3,0.194902077,-0.05424,654.5,255.5,1,0.861621758,1,
123,30.412121,33,33.95303853,485.6999974,0.021276595,66.42400729,3,0.091869362,0.096770138,2589.354507,2337.924024,0,0.995582714,1,
124,38.54761905,43.16666667,76.6,104.3,0.179487179,84.32807242,3,0.071343802,0.146704364,3712,3352,0,0.901397071,1,
125,31.42857143,34.64285714,52.42,748.9,0.020408163,76.11031404,3,0.059051521,-0.1564,1621,1368,0,0.997989892,1,
126,31.26190476,41.45238095,66.57333333,183.2,0.145299145,78.37301587,3,0.064168721,0.125471424,1129,694,3,0.612585569,1,
127,38.07142857,44.9047619,69.6,359.7,0.466666667,77.29076479,3,0.147723049,0.057709068,2018,1682,0,0.554802397,1,
128,52.66666667,59.54761905,49.9,3062,0.775510204,91.44955057,4,0.033615716,0.129841678,4704,4251,0,0.985024861,2,
129,22.83333333,27.78571429,59.26,198.8,0.228070175,75.75757576,3,0.060445651,0.143489493,445.7,164.7,2,0.39197781,1,
130,42.95238095,46.42857143,52.42666667,1352,0.045454545,78.44516595,3,0.132370129,-0.1272,1904,1720,0,0.860348319,1,
131,15.96489752,23.45238095,42.13735962,185.7482811,0.357833654,83.49805972,6,0.36890012,0.016171236,664.5988558,0,0,0.509670317,4,
132,65.64285714,75.19047619,68.33333333,1717,0.02,55.32106782,3,0.061707582,-0.02263,4638,3977,0,0.997872215,1,
133,24.10470145,30.85714286,47.54763794,447.9792657,0.36434108,67.27993223,3,0.149771288,0.057600513,1700.785936,1369.137068,0,0.8228212,1,
134,20.92142857,23.61904762,55.72666667,436,0.333333333,78.16457985,3,0.052439004,-0.01162,604.9,382.4,0,0.995872885,1,
135,68.5,78.0952381,70.53333333,406.4,0.525,84.52380952,3,0.045089472,-0.195,3890,3321,0,0.989873867,1,
136,18.39026896,19.5952381,22.89607239,398.9391931,0.012048192,56.8527599,4,0.03450099,0.061550308,353.5718516,40.86981601,0,0.788890719,2,
137,26.19234212,28.85714286,41.47122447,72.06042493,0.43589744,64.71961861,3,0.123484582,0.084886804,2861.551026,2567.744151,0,0.285619991,1,
138,59.07142857,63.04761905,42.70666667,410.3,0.298701299,59.7041847,3,0.04699868,-0.008464,4970,4722,0,1,1,
139,36.57142857,43.4047619,63.64666667,368.3,0.012195122,52.41702742,3,0.160462886,-0.07738,2385,2210,0,0.937010049,1,
140,59.11904762,63.30952381,40.39333333,265.9,0.015037594,61.21933622,3,0.086173639,-0.06202,5913,5638,0,0.999657805,1,
141,26.54761905,34.54761905,70.93333333,226.2,0.483516484,79.45518202,3,0.090370476,0.216403573,169.7,0,0,0.842141472,1,
142,24.9047619,30.92857143,63.98666667,665.2,0.1,78.83390846,3,0.072235748,0.101252096,105.2,0,0,0.835368396,1,
143,30.86439732,36.04761905,36.94115702,274.7711756,0.055555556,62.674779,3,0.131739557,-0.109142378,2616.763858,2342.988704,0,0.973947585,1,
144,25.26811291,31.26190476,53.22278341,240.3031566,0.062256809,56.61124224,3,0.217984751,0.06103,2151.348138,1935.558131,0,0.261399895,1,
145,53.35714286,59.61904762,55.46666667,423.9,0.092307692,99.20634921,3,0.042259987,-0.03288,6544,6015,0,0.981232173,1,
146,15.259459,17.61904762,25.99819183,149.0190215,0.395744681,99.76746721,5,0.070182718,-0.022424016,1312.147435,1083.113114,0,0.909554839,3,
147,15.77083333,19.30952381,28.73703003,417.4159549,0.015822785,66.38365238,4,0.029486045,-0.014347496,148.0514265,0,0,0.91451887,2,
148,30.21428571,32.4047619,70.73333333,119.7,0.333333333,74.26046176,3,0.078166246,0.117197361,2350,2263,0,0.718457752,1,
149,25.92428444,32.33333333,44.59488932,44.72673844,0.021052632,58.59556068,4,0.160882786,-0.020761631,2041.287108,1794.625004,0,0.570040941,2,
150,27.17857143,28.35714286,37.57193502,1169.82732,0.027777778,55.27002273,3,0.11765632,0.009056133,1897.449602,1804.484014,0,0.958248019,1,
151,39.92857143,48.78571429,53.1,242.1,0.06097561,59.97474747,3,0.138455927,0.011272605,3950,3678,0,0.744509495,1,
152,46.66666667,56.78571429,61.38,706.1,0.493150685,92.62710922,3,0.09347637,-0.01736,1768,1338,1,0.796424367,1,
153,62.66666667,72.28571429,50.78666667,1768,0.457142857,90.06132756,3,0.039421447,-0.05725,4684,4082,0,0.777200357,1,
154,41.61904762,50.69047619,63.06,562.8,0.63963964,93.13882573,3,0.06530071,-0.02073,2478,1898,0,0.814483605,1,
155,46.66666667,50.0952381,52.82,359.6,0.6,59.88455988,3,0.148915082,-0.1813,1905,1773,0,0.999527008,1,
156,46.0952381,51.66666667,51.67333333,2887,0.026666667,58.69408369,4,0.079104207,0.081607109,6079,5863,0,1,2,
157,30.65786307,33.66666667,41.61154429,142.7763819,0.044117648,59.57254908,3,0.180529401,0.042739291,3828.280047,3537.950628,0,0.56609416,1,
158,24.85714286,28.5952381,69.4,121.6,0.488372093,76.55122655,3,0.063032761,0.238551068,544.2,159.3,1,0.630147874,1,
159,30.88730585,35.45238095,47.13565572,428.8328962,0.05882353,61.9693314,3,0.147573292,0.003144045,3623.971097,3164.89119,0,0.744385839,1,
160,29.47619048,34.78571429,51.81333333,372.1,0.038961039,50.48701299,3,0.190701857,0.003483505,2349,1952,0,0.996746934,1,
161,41.57142857,49.85714286,61.39333333,901.8,0.386138614,95.18398268,3,0.072505206,0.027122354,2881,2596,0,0.672491709,1,
162,54.5,61.57142857,62.88666667,826,0.046875,90.91302704,4,0.071204908,-0.1079,2654,2286,0,0.962774363,2,
163,65.11904762,70.5,51.03333333,215.8,0.176470588,53.67965368,3,0.102457933,0.177720504,3116,2865,0,1,1,
164,46.45175316,49.14285714,46.27001444,529.8377212,0,81.7692558,3,0.061226267,-0.126967236,4553.554457,4221.023835,0,1,1,
165,33.35714286,38.26190476,50.29333333,197,0.08974359,77.32683983,3,0.097924091,0.115541308,3003,2734,1,0.643985922,1,
166,28.07142857,36.33333333,65.3,328.5,0.145038168,80.06597685,3,0.074674852,0.145318664,234.4,0,1,0.906634176,1,
167,30.1776094,39.04761905,47.52312215,528.0795812,0.004761905,66.71556266,3,0.137021258,0.009687067,1813.969062,1636.339161,0,0.933088958,1,
168,39.14285714,43.26190476,56.14666667,165.6,0.140350877,82.25108225,3,0.06651248,0.04099113,7915,7725,0,0.752627849,1,
169,17.15961129,24.21428571,46.70142619,211.9862764,0.502392352,66.1799996,3,0.109057032,0.086685322,713.2504433,473.1705034,0,0.837906943,1,
170,13.66166178,17.52380952,53.36066691,345.9598491,0.149425283,83.17285915,5,0.369333625,0.017387956,502.856983,152.3057384,0,0.31185478,3,
171,44.07142857,47.4047619,39.62,146,0.217391304,75.68542569,3,0.040323898,-0.02441,3815,3549,0,0.985571329,1,
172,31.42857143,34.64285714,52.42,748.9,0.020408163,72.65512266,3,0.12072777,-0.1564,1621,1368,0,0.779741997,1,
173,63.76190476,69.61904762,40.18,2270,0.642201835,54.5995671,4,0.088186301,-0.05189,4764,4162,0,0.985196327,2,
174,26.7472011,31.95238095,41.43812307,329.5703906,0.267175585,57.58243936,3,0.149835303,-0.02671372,2029.564368,1432.21498,0,0.731196642,1,
175,56.21428571,60.14285714,44.11333333,3086,0.328125,55.93434343,4,0.115607396,0.059680343,5838,5540,0,1,2,
176,35.56420898,42.66666667,34.16227468,202.7933392,0.491279066,81.52628018,3,0.08520183,0.01557388,3988.887127,3473.415298,0,0.173820347,1,
177,46.45175316,49.14285714,46.27001444,529.8377212,0,71.51088887,3,0.101369783,-0.126967236,4553.554457,4221.023835,0,1,1,
178,28.54761905,32.35714286,57.80666667,115.9,0.615384615,76.74999829,3,0.057183098,0.354316614,2126,1985,0,0.942490556,1,
179,50.33333333,57.76190476,57.62666667,1337,0.525,94.79418564,3,0.041981667,-0.2272,5012,4625,1,0.965122898,1,
180,27.56792632,29.61904762,35.28785451,218.5006096,0.074626863,67.03768041,3,0.157683238,-0.093918256,2614.33072,2431.51432,0,0.925191939,1,
181,59.38095238,64.83333333,55.76666667,2313,0,85.91269841,4,0.024782313,-0.137,5026,4709,0,0.933624174,2,
182,20.54571243,24.02380952,33.65917969,544.4524895,0.00295858,64.71390602,4,0.09104567,-0.024477782,683.5709839,208.5203748,0,0.92996335,2,
183,28.9047619,38.26190476,68.86666667,355.3,0.43697479,54.56349206,3,0.153439879,0.005519209,723.5,283.4,0,0.882462955,1,
184,21.64652071,24.07142857,33.95793406,1186.386144,0.371428579,65.02648231,3,0.108221568,0.027674399,1295.902552,983.0837455,0,0.999848737,1,
185,33.35714286,38.26190476,50.29333333,197,0.08974359,83.52598192,3,0.06328506,0.115541308,3003,2734,1,0.995472186,1,
186,10.3692627,12.04761905,21.51118469,117.8387783,0.109090909,91.59454277,6,0.063265093,-0.043898813,311.8719735,31.56288291,1,0.771256387,4,
187,40.7565046,44.66666667,25.3999176,1379.496218,0.316326529,71.5126267,3,0.149692893,0.055894375,4239.740125,3990.503123,0,1,1,
188,21.16403053,23.07142857,36.4866333,785.4461631,0.173285201,81.17235054,4,0.075690426,-0.087708622,1314.760225,1001.226166,0,0.777287185,2,
189,29.21483212,35.45238095,44.28687032,209.0973794,0,67.05350538,3,0.193221658,0.112998359,3026.796541,2622.196795,0,0.771262944,1,
190,40.11844017,46.9047619,46.03182983,127.3024911,0.06666667,67.57442013,3,0.143685162,0.090724699,4462.64017,3872.199729,0,0.973556638,1,
191,42.14285714,52.57142857,56.92,719.9,0.522727273,91.36002886,3,0.196818501,-0.03828,935.7,207.9,1,0.752753015,1,
192,42.35714286,53.19047619,53.85333333,537.5,0.517241379,91.43217893,3,0.07371626,0.013931624,1815,1497,0,0.981688941,1,
193,21.9952381,25.5,57.86666667,37.93,0.180722892,77.24782422,3,0.066424944,-0.2767,537.6,331.1,1,0.872576087,1,
194,9.93900844,11.23809524,29.43346659,231.3550062,0,83.35101567,6,0.215392604,-0.061586682,484.621906,367.1582805,0,0.743232012,4,
195,46.5952381,54,45.48,1242,0.454545455,94.06277594,3,0.051761176,0.181883812,2572,2113,1,0.896277557,1,
196,49.5952381,58.85714286,54.58,1035,0.725490196,62.57215007,3,0.156558886,0.000346775,3596,3005,0,0.993432501,1,
197,50.57142857,58.85714286,68.6,272.4,0.362318841,91.43217893,3,0.130809233,0.253102566,2563,2208,0,0.984291814,1,
198,60.19047619,64.35714286,42.08,380.3,0.563829787,92.13564214,3,0.022810578,0.017985619,5216,5024,1,0.879157553,1,
199,29.26190476,38.71428571,63.16666667,294.6,0.139534884,83.54007489,3,0.064685844,0.204951883,133.3,0,0,0.954560731,1,
200,43.78571429,50.95238095,57.4,963.8,0.157894737,59.32539683,3,0.128388345,-0.1437,1431,795.7,1,0.9877772,1,
201,43.0952381,51.85714286,63.14,198,0.056179775,91.75685426,3,0.158620536,0.155923743,1721,1241,0,0.800687216,1,
202,58.61904762,66.64285714,55.74666667,2052,0.75308642,59.18109668,3,0.088367119,0.019679413,4892,4543,0,0.968454474,1,
