手機螢幕溫度(最大),手機背蓋溫度(平均),平均APP運作指標/小時,手機電池電量,內容容量比率,Underclocking
57.78571429,62.97333333,293.5,92.615373,0.998519752,0
63.23809524,52.26,1168,63.0952381,0.988482021,0
26.07142857,48.0161794,254.1086107,68.86872938,0.776746511,0
65.16666667,42.74666667,1288,55.48340548,0.994955904,0
17.33333333,30.37975565,158.096486,81.76106017,0.817891836,0
72.35714286,58.74,1901,59.01875902,0.987141113,1
78.16666667,59.29333333,6.387957614,85.87662338,0.996209074,1
71.28571429,49.84,295.4,82.82102019,0.96919466,0
21,42.89333333,169.4,77.39373131,0.619970462,1
25.5952381,47.30638631,257.5901749,65.01072321,0.879773784,1
56.57142857,51.4,3614,89.68253968,0.856753798,0
61.19047619,44.94,361.4,94.7335161,0.992890525,1
53.21428571,55.34666667,914,91.28787879,0.733009931,1
51.47619048,59.05333333,4141,58.69408369,0.996615827,0
47.92857143,40.77175395,925.2686248,66.48946037,0.960031867,0
46.19047619,45.6458842,1095.026139,66.15737716,0.99539113,0
8.142857143,3.387132645,74.04008702,80.41698813,0.00293163,0
28.80952381,19.86666667,456.5,74.18839006,0.774078478,0
42.9047619,58.34,304.5,85.64964415,0.750649287,1
59.0952381,62.08666667,946.2,60.1010101,0.996426789,0
49.0952381,40.09333333,122.1,89.79047696,0.98364532,0
44.0952381,65.73333333,167.2,52.54329004,0.646959922,1
45.88095238,52.33333333,576.2,85.6027081,1,0
63.11904762,48.97333333,694.4,89.47315877,0.979168787,0
22.83333333,36.38250478,273.9886795,64.81298445,0.91339934,0
16.88095238,43.30579122,174.7726514,83.73724565,0.989908363,0
29.26190476,42.17955017,404.0097054,57.11687522,0.965071619,0
36.5952381,65.8,169.8,54.18470418,0.834831703,0
52.52380952,91,682.5,91.55844156,0.169364708,1
66.33333333,58.71333333,1655,85.33549784,0.965039753,0
54.83333333,54.51333333,129,95.83333333,0.744851658,1
60,64.77333333,529.2,95.29220779,0.7674079,1
75.52380952,59.08666667,604.4,83.94289247,0.918036256,0
59.45238095,43.56,2498,90.36796537,0.845265867,0
16.26190476,28.8250707,291.2754909,99.08673921,0.822375715,1
31.45238095,47.5061086,447.0854878,69.09108635,0.995468259,0
32.57142857,49.79977417,261.9067674,57.59320418,0.675157368,1
53.57142857,50.36,2863,58.71212121,0.997937124,0
59.64285714,64.84,1111,91.03535354,0.84601651,0
70.0952381,55.97333333,1997,59.05483405,1,0
36.97619048,68.2,202.3,75.48701299,0.64884262,0
45.23809524,55.56,186.7,53.37301587,0.987583656,0
29.80952381,60.84666667,134.9,76.56926407,0.382862188,1
71.78571429,67,305.2,85.43236052,0.893523834,1
35.04761905,59.94666667,213.3,78.07904883,0.897722358,0
49.35714286,71,181.6,61.95887446,0.517884781,1
66.64285714,57.14666667,1050,56.87229437,0.9972106,0
37.28571429,60.94,398.4,53.95021645,0.618982835,0
55.73809524,65.16666667,614.9,91.55844156,0.983601332,1
19.47619048,45.86405436,226.0230008,97.55305554,0.532380223,1
48.85714286,70.53333333,120.7,85.42979033,0.964946889,1
47.88095238,58.48,482.7,85.53995761,0.966080402,1
45.23809524,55.56,186.7,79.88816739,0.952843468,0
59.35714286,75.86666667,1088,59.66810967,0.987866505,0
47.97619048,60.88666667,702.1,77.63347763,0.872956132,1
33.83333333,54.00666667,430.8,79.08343492,0.914989611,0
25.02380952,50.52695211,233.9191831,71.69011902,0.773867846,1
33.30952381,46.93333333,524.4,77.76819896,0.959421155,0
29.80952381,55.41333333,136,74.72943723,0.493280601,0
67.71428571,47.77333333,543.6,91.67937773,0.999816643,0
58.85714286,54.58,1035,95.5972343,0.97263542,1
60.97619048,59.84,958.7,85.53638063,1,0
63.85714286,47.5,475.2,95.67211125,0.998066138,1
68.61904762,52.30666667,1422,83.73571739,0.999945674,0
25.78571429,33.15333333,1000,75.68598131,1,0
60.54761905,61.38,1414,94.19191919,0.947937638,1
19.45238095,45.40674337,139.3100493,83.18284452,0.995980022,0
35.35714286,38.11954753,190.0397374,75.05224292,0.677783728,1
26.42857143,37.6173172,91.62672842,54.33223319,0.618206143,1
18.73809524,20.31333333,187.5,76.4450081,0.586794868,0
44.21428571,42.56982676,1193.274817,67.96453452,0.805302978,1
55.5,48.50666667,1614,58.8023088,1,0
52.95238095,47.86,876.9,60.55194805,0.970314525,1
63.80952381,43.51333333,618.9,59.46969697,1,0
54.71428571,58.44666667,226.8,92.5086219,0.783063609,1
48.57142857,67.6,434.9,58.44155844,0.760548248,0
65.23809524,67.73333333,1519,59.74025974,0.97686596,1
35.35714286,65.01333333,226.8,50.54112554,0.904774589,0
53.04761905,68.53333333,73.82,97.49986751,0.937297194,0
52.5,56.86,162.4,96.43445357,0.991669207,0
47.23809524,58.46,209.5,51.53318903,0.829745597,1
39.14285714,56.81333333,81.78,50.37878788,0.958027066,0
62.26190476,28.36,796,94.78715729,0.823292045,0
57,68.46666667,398.1,90.42207792,0.833785113,0
42.57142857,61.12666667,575,78.35497835,0.349137931,1
60.97619048,59.84,958.7,86.48989899,0.881516412,0
14.78571429,43.49552409,122.5152541,83.43366028,0.52795887,0
48.14285714,79.06666667,208.7,79.11255411,0.995425667,0
57,60.07333333,286,90.36796537,0.936303351,1
54.83333333,66.8,164.2,90.63852814,0.838570365,1
66.33333333,53.41333333,1372,84.01835628,0.998802049,0
35,37.95071157,263.0856614,61.33174677,0.873211026,1
33.52380952,44.05515035,185.2787466,67.44504104,0.924293697,1
38.28571429,50.14,241.1,83.15906592,0.835385954,1
46.11904762,58.45333333,2803,82.67221193,1,0
38.78571429,44.29504903,526.373388,66.31119289,0.986783266,0
46.54761905,61.04666667,496.3,75.81168831,0.725129228,0
60.57142857,60.06666667,1485,94.55064952,0.949407215,1
45.97619048,64.60666667,586.4,85.39885756,0.98258753,1
50.5952381,53.44666667,1244,62.5,0.738932785,0
51.02380952,41.24666667,665.5,62.5,0.979020979,1
52.88095238,45.36,444.8,59.52380952,1,0
39.54761905,38.13472239,100.7526864,79.87451613,0.835101306,1
58.16666667,46.76666667,575.9,91.27125116,0.999666944,0
23.5,41.98547363,377.5132042,81.86499708,0.533765793,1
67.54761905,57.00666667,582.4,57.59379509,0.989927425,0
37.78571429,64.58,121.1,77.77777778,0.218442424,1
52.07142857,57.14,372.3,91.93722944,0.773105329,1
39.54761905,38.13472239,100.7526864,65.67937197,0.962334752,0
59.76190476,50.06666667,523.9,62.87878788,0.995602713,0
28.71428571,60.9,257.4,74.69336219,0.381708566,1
72.38095238,40.45333333,1004,53.51731602,0.996367666,0
47.76190476,52.02666667,3058,74.36868687,0.810780445,0
54.71428571,65.82,672.6,91.97330447,0.883159951,1
67.45238095,60.24666667,423.5,85.47979798,0.97616468,0
58.52380952,59.02,3670,89.66450216,0.867666279,1
8.5,3.499667167,61.83872722,80.17930579,0.690082179,0
57.4047619,45.82666667,200.3,96.1359624,0.962733072,0
37.80952381,68.53333333,151.8,49.78354978,0.963932665,0
53.35714286,64.49333333,1178,92.35440738,0.884454642,0
16.66666667,42.14234924,268.8186067,83.69492655,0.985597094,0
50.61904762,47.23333333,883.1,60.62409812,1,1
10.64285714,27.75730642,86.48400317,86.86637857,0.361227572,1
68.04761905,59.50666667,149.5,85.28740407,0.970196977,1
10.88095238,18.56574885,173.0665069,83.4854831,0.614978313,0
56.5952381,99.6,561.8,92.29035425,0.782360032,1
66.07142857,55.9,118.2,59.95670996,0.974013896,0
28.95238095,39.07497406,366.2598878,65.44807648,0.948765183,1
49.66666667,57.33333333,1021,94.30257245,0.789602419,1
63.04761905,39.48666667,338.8,98.68326118,0.872511332,1
54.14285714,54.25333333,2036,89.59235209,0.894288528,0
61.33333333,63.96,387.9,59.07287157,0.992043804,0
50.95238095,51.8,733.4,91.79946463,0.989550159,1
12.95238095,18.77115377,186.0035991,83.32333791,0.644116879,0
8.261904762,3.038632711,124.4042239,80.73151854,0.22753115,0
52.97619048,44.29333333,308.9,96.01370851,0.759036712,0
59.85714286,53.18666667,671.3,92.26105409,0.995603548,0
57.21428571,64.06666667,494,90.87301587,0.926472088,0
39.19047619,57.61333333,230.3,52.03823954,0.958699696,0
45.35714286,48.604304,1111.999287,66.04503983,0.995746791,0
12.95238095,18.77115377,186.0035991,94.26797171,0.214223042,1
45.07142857,53.9,491,78.96825397,0.69511267,0
17.4047619,18.78212738,52.32478979,62.45111743,0.427086145,0
30.80952381,63.66666667,2.806543953,49.74747475,0.64753004,1
43.88095238,48.38666667,687.8,75,0.879060501,0
35.47619048,61.91333333,360.2,80.41512033,0.344599376,1
26.45238095,54.82007853,134.0370873,68.53010483,0.985960662,0
61.76190476,49.47333333,3155,89.68253968,0.897617938,0
64,74.46666667,765.9,59.9025974,0.994866383,0
77.35714286,53.05333333,1347,56.16883117,0.997682977,0
56.76190476,57.03333333,604.4,92.32362758,0.941948245,0
64.21428571,57.96666667,1909,58.96464646,0.983494424,0
24.04761905,43.9719696,239.633609,72.29717732,0.898717642,1
44.83333333,67.33333333,3682,82.6346463,0.972589129,1
36.07142857,61.44,599.1,75.95598846,0.609710376,0
35.88095238,52.28,258.3,77.4968445,0.949843442,0
57.85714286,58.05333333,92.09,59.07287157,0.952797034,0
27.42857143,37.3238856,376.8127811,55.3210513,0.964382887,0
77.33333333,48,495.8,52.74170274,0.889338788,0
25.33333333,48.65444946,130.5893149,57.65050299,0.791134357,0
62.97619048,45.18,471.1,62.57215007,0.997751061,0
24.02380952,44.79360962,215.5286146,70.45439488,0.933466673,1
53.5952381,58.84,720.1,60.33549784,0.994007447,1
42.02380952,53.39333333,177,50.9018759,0.902820754,1
57.95238095,62.46,200.9,64.05122655,0.984359781,1
37.64285714,56.54666667,828.8,81.29737903,1,0
40.26190476,62.14666667,213,50.88383838,0.991203986,0
34.71428571,57.56,145.5,75.43290043,0.628603802,0
39.30952381,19.2079862,1041.775194,80.30805333,1,0
36.42857143,53.86,390.5,79.06893921,0.962214656,0
72.28571429,50.78666667,1768,59.03679654,0.966916156,1
36.4047619,60.62,420.3,78.94430583,0.804088307,0
56.02380952,57.11333333,238.7,63.29365079,0.999500042,0
10.38095238,3.30659008,226.326776,82.96757937,0.373366535,0
29.92857143,73.2,57.5,79.43614035,0.581046896,1
47.92857143,46.93333333,701.4,79.22077922,0.740865509,0
47.66666667,54.29333333,356.7,76.73160173,0.775524024,0
62.85714286,54.75333333,140.6,97.74517099,0.992083314,1
28.95238095,39.07497406,366.2598878,69.01238039,0.778001666,1
45.45238095,49.00666667,322.4,83.78601277,0.999074131,0
43.42857143,46.30666667,438.1,53.21067821,1,1
56.73809524,53.54666667,489.9,92.6046176,0.914692074,1
34.71428571,57.56,145.5,77.83369893,0.889762619,0
68.35714286,59.07333333,89.14,92.10657855,0.987397016,1
70.42857143,36.36,1530,80.26695527,0.942391577,0
10.88095238,18.56574885,173.0665069,81.44070601,0.92689119,0
45.78571429,65.07333333,306,83.39060182,0.829026846,1
16.64285714,6.74048233,114.3231577,62.1815062,0.754063845,0
63.0952381,85.6,129.4,90.34992785,0.903330273,0
41.45238095,67.53333333,418.4,78.3008658,0.338065809,1
31.26190476,47.65333333,369.6,76.63954199,0.984769266,0
53.80952381,84.2,212.5,90.81890332,0.984312769,0
42.97619048,60.27333333,322.1,52.16450216,0.854895357,0
47.42857143,36.60666667,341.9,53.67965368,0.986602299,0
40.42857143,65.88,268.2,84.5342182,0.91214101,0
51.14285714,64.34666667,1051,59.52380952,0.98017472,0
51.0952381,61.54,574.5,59.37950938,0.929899919,1
26.5952381,49.86666667,149.1,77.3199337,0.883106807,0
31.04761905,39.23812358,460.6242365,64.85937011,0.770883534,1
45.78571429,55.01333333,3245,49.90981241,0.999959412,0
49.69047619,49.07333333,447.9,91.4551859,0.979553525,0
43.61904762,72.73333333,400.8,85.09010774,0.93349015,1
72.35714286,58.74,1901,91.60610724,0.964009483,0
59.0952381,52.27333333,619.1,91.26984127,0.930846017,0
11.38095238,31.73103333,147.9024709,83.36967424,0.698374271,0
37.64285714,57.46666667,254.3,50.88383838,0.958891248,0
20.14285714,29.33296458,191.0600986,64.27281558,0.719165623,0
61.19047619,46.07333333,690.1,60.35353535,0.998767788,0
15.30952381,41.98547363,77.00473459,97.26402545,0.695095956,0
10.88095238,18.56574885,173.0665069,87.68773358,0.640627801,1
62.26190476,56.74,365.6,85.62409812,0.612100171,1
21.28571429,34.8119812,219.4496858,66.03890628,0.822130382,0
48.61904762,46.1016744,249.2368362,81.7771472,1,0
50.14285714,55.4,313.9,91.36002886,0.787620502,1
33.14285714,63.05333333,299.3,53.42712843,0.791208114,0
32.30952381,40.99424998,532.4908081,57.84928624,0.931936026,1
49.71428571,43.72980245,1113.714695,71.51190271,1,0
48.11904762,99.2,250.1,79.31096681,0.255332609,1
75.38095238,60.06666667,979,83.67604618,0.935960317,1
41.16666667,35.93068695,635.3497833,67.28123299,0.967408121,1
72.38095238,43.00666667,1531,53.44516595,0.998987755,0
48.57142857,60.42915853,1762.900098,67.00168631,0.996614695,0
56.26190476,69.66666667,550,60.51587302,0.690454407,0
40.69047619,53.19333333,879.9,51.96608947,1,0
63.11904762,48.97333333,694.4,60.1010101,1,0
59.11904762,57.85333333,647.8,91.55844156,0.937133312,0
36.19047619,63.90666667,215,53.67965368,0.976163726,0
54.83333333,66.8,164.2,59.52380952,0.974403452,0
39.19047619,57.61333333,230.3,77.68759019,0.586773731,0
54.71428571,69.6,212.4,91.50058301,0.987190045,0
60.69047619,63.66,387,92.29694658,0.958550127,0
37.02380952,68.93333333,279,80.44830954,0.81391469,1
22.11904762,22.97105916,325.1139284,64.52961843,0.941341091,0
50.83333333,47.19139099,1209.947803,71.42557792,1,0
70.47619048,37.59333333,763.4,52.94011544,1,0
37.57142857,50.66666667,183.6,77.63347763,0.600731026,0
51,37.38,739.6,91.50966466,0.985504854,1
54.52380952,64.68666667,322.3,91.64940352,0.918063847,1
43.80952381,59.04,817.1,76.74963925,0.988489818,0
65.97619048,67.46666667,401.9,91.60800572,0.961598441,0
31.07142857,60.98810323,299.7243893,56.50596053,0.954582632,0
53.61904762,51.35333333,884.4,95.41983368,0.94245619,1
57.26190476,32.63333333,465.4,96.87214348,0.987648404,0
62.5,48.78666667,1031,90.34992785,0.84955594,0
59.97619048,49.38,344.3,62.57215007,0.993518271,0
57.76190476,57.62666667,1337,94.60678211,0.836661817,1
58.16666667,63.18666667,345.7,63.58225108,0.915798018,0
57.26190476,54.38666667,2553,91.86444484,0.959035349,0
39.19047619,59.58666667,223,52.38095238,0.793816147,1
32.26190476,49.52,277.9,75.01803752,0.765240908,0
52.07142857,79.33333333,587.2,59.74025974,0.985625686,0
53.57142857,69.73333333,251.8,92.69555034,0.974921152,1
54.52380952,54.51333333,635.7,62.84271284,1,0
76.73809524,47.67333333,1071,81.27705628,0.910235592,1
71.83333333,48.79333333,2143,82.94655319,0.989458391,0
48.14285714,59.64089966,337.7062126,67.60543391,0.98141861,0
58.66666667,50.24,335.1,92.26029286,0.95993171,0
45.88095238,58.15333333,638.1,78.96825397,0.695118581,0
36.38095238,60.9,521.1,80.21416292,0.949248895,1
33.66666667,41.61154429,142.7763819,67.01745635,0.919863462,0
64.9047619,41.83333333,833.7,92.68899246,0.994677138,0
41.71428571,54.62666667,639.4,54.2027417,0.982019299,0
49.38095238,47.59333333,290.6,92.17738841,1,0
42.19047619,42.30728658,855.9570914,71.4281991,1,0
13.47619048,36.66954041,148.2210386,82.92752118,0.897285714,0
10.33333333,14.23792013,42.97944053,85.8421212,0.827727675,0
42.04761905,43.52590942,270.9403935,65.64220377,0.979673445,0
59,54.94666667,968.5,63.27561328,0.991244221,0
45.73809524,60.42,899.8,52.57936508,0.983742508,1
36.9047619,52.59681193,963.2262082,76.36680136,0.94879961,1
35.97619048,77.53333333,234.6,51.04617605,0.547887939,1
44.26190476,71.26666667,312.9,85.15701935,0.80931521,1
58.26190476,45.44,379.6,63.2034632,0.990042705,1
14.61904762,29.43346659,180.5986653,82.40056521,0.760484815,0
53.92857143,63.86,197.7,63.18542569,0.993074324,0
58.16666667,46.76666667,575.9,58.94660895,0.990008326,1
47.92857143,46.93333333,701.4,52.99422799,1,0
37.02380952,68.93333333,279,76.73160173,0.753136989,1
69.61904762,40.18,2270,83.51736174,0.971870382,1
62.61904762,43.28666667,405.1,95.10162483,1,0
69.21428571,54.18666667,898.4,83.62193362,0.658771805,0
48.52380952,40.9,632,60.04689755,0.978373201,0
46.16666667,91.4,118.1,85.6818291,0.80426089,1
47.83333333,53.49333333,1068,52.57936508,0.981649148,1
31.04761905,39.23812358,460.6242365,66.92356793,0.621337235,1
34.64285714,35.51963298,631.5801296,60.47630004,0.794148386,1
41.16666667,118.0666667,272.1,76.73160173,0.615426886,1
41.33333333,53.16666667,412.3,51.76767677,0.996353763,0
70.85714286,39.72666667,990.9,82.40134906,0.977782495,0
40.42857143,65.88,268.2,51.6955267,0.926568667,0
57.95238095,50.11333333,408.3,92.20124144,0.955381901,0
77.57142857,43.82666667,1369,82.95454545,0.919009964,0
32.16666667,41.02131144,198.5453761,58.47562852,0.824974597,1
30.88095238,44.46409098,258.4502437,64.80310866,0.793215079,1
62.5952381,41.44666667,764.2,83.63875882,0.989647523,1
66.19047619,47.1,1547,83.32950029,0.982295082,0
65.0952381,41.69333333,991.5,86.11111111,0.979886314,1
35.88095238,52.28,258.3,73.88167388,0.68126322,0
35.11904762,46.8747406,626.5290321,74.14551677,0.992889941,1
47.23809524,22.68254344,1022.891716,67.80926759,0.992628217,0
60.61904762,80.33333333,545.8,60.02886003,0.994355318,1
36.11904762,60.89333333,182.7,53.12049062,0.720197188,0
65.35714286,54.18666667,1501,86.18326118,0.973249342,0
64.92857143,34.13333333,1021,83.0988456,0.970444699,0
36.42857143,53.86,390.5,75.55916306,0.544721538,0
47.04761905,51.18,833.3,75.25252525,0.778472845,0
48.16666667,51.34,3351,82.70831909,1,0
43.71428571,60.58,164,84.3354747,0.875877155,1
43.95238095,61.96666667,322.9,87.70076619,0.944253054,1
51.61904762,59.72,998.6,61.67027417,0.72359817,1
10.54761905,2.980006854,60.33740546,86.51318556,0.684320688,0
28.80952381,62.26,484.1,53.06637807,1,0
10.07142857,27.11033122,278.3543472,84.7784131,0.720674515,0
40.19047619,56.79080709,861.5202624,81.16463951,1,0
59.9047619,61.15333333,291.8,90.89105339,0.907046259,0
44.07142857,59.94666667,104.5,83.52776091,0.867754443,1
57.16666667,67.93333333,1047,59.7041847,0.999917712,1
50.5952381,74.93333333,431.5,61.16522367,0.828753902,1
37.04761905,55.98,621,53.12049062,0.947844002,1
61.16666667,65.53333333,3592,58.73015873,0.982902736,1
56.78571429,61.38,706.1,91.61255411,0.993297272,1
18.9047619,30.37975565,143.4395322,99.99933522,0.951282084,0
53.85714286,46.67333333,61.14,98.98989899,0.890662945,0
57,68.46666667,398.1,59.45165945,0.999874533,1
49.02380952,42.41044617,2138.220226,71.58503909,1,0
74.66666667,51.33333333,231.8,84.3887966,0.939762171,0
39.14285714,59.86666667,270.1,82.81114403,0.945897979,0
50.64285714,52.08,393.1,92.60413249,0.98505658,0
38.33333333,51.98,328.4,82.21377519,0.980396064,1
33.28571429,75.66666667,138,50.10822511,0.890333939,1
52.47619048,48.02,769.6,59.5959596,1,0
14.47619048,29.57138825,71.22039397,97.55690225,0.436546952,1
50.97619048,48.19333333,304.7,95.92352092,0.793540782,1
28.85714286,41.47122447,72.06042493,55.11605859,0.035350185,1
71.92857143,52.34,822.9,82.75613276,0.959715739,0
13.57142857,34.36129761,167.3802633,94.24491995,0.505478859,1
41.4047619,57.98666667,209.6,85.54128592,0.985237219,0
17.16666667,30.85407511,220.8507201,97.78608861,0.593985558,1
34.66666667,58.92666667,195,48.95382395,0.993909941,0
34.73809524,34.68933868,231.6050379,67.07640186,0.853855314,1
50.64285714,52.08,393.1,91.61255411,0.978838992,0
64.02380952,58.62,2017,89.79076479,0.789947627,1
42.5,29.90605927,974.9926296,81.49102115,0.48688966,1
52.21428571,53.63333333,273.8,94.97583722,0.990774998,1
47.95238095,30.70959981,732.2582705,66.4981101,0.95857054,0
28.95238095,39.07497406,366.2598878,57.25359102,0.481955081,1
41.26190476,31.75886027,352.8027679,81.47470566,0.004489002,1
43.30952381,37.81630961,1225.794167,66.02971286,0.952539563,0
21.61904762,43.58495076,240.2006364,65.92765518,0.994567348,0
61.19047619,39.4,485.2,84.93867244,0.95243134,0
55.0952381,41.52,103.3,95.53761319,0.969651984,0
51.02380952,55.2,545.2,90.6024531,0.732148832,1
52.92857143,72.4,177.3,91.47939583,0.995812395,0
38.61904762,60.83333333,3963,49.36868687,0.996129736,1
62.38095238,61.10666667,1228,92.04317447,0.996865803,0
60.69047619,57.74,601.1,59.74025974,0.99916139,0
37.66666667,60.7,862.4,75.68542569,0.773677069,0
45.64285714,55.52666667,305.7,79.31096681,0.348163476,1
9.761904762,20.52648799,196.2668374,83.84866829,0.701074898,0
58.21428571,65.74666667,424,91.64862915,0.904259885,1
40.9047619,54.29445394,467.9965612,67.31477502,0.98637563,0
11.26190476,33.97279358,99.34579723,83.71607689,0.425295949,1
53.45238095,69.93333333,595.9,59.81240981,0.95803708,1
